IT/ Technology - Hardware & Networking	IT/ Technology - Hardware & Networking,IT/ Technology - Data Center/ Manage Infrastructure Services,IT/ Technology - Software/ Services,Telecom/ Mobile Operator/ ISP/ Telecom Vendor
IT/ Technology - Education	IT/ Technology - Education,Education/ Training,IT/ Technology - Software/ Services
Law/ Legal/ LPO	Law/ Legal/ LPO
NGO/ Social Service	NGO/ Social Service
Office Automation	
Oil/ Gas/ Petrochemicals / Refinery	Oil/ Gas/ Petrochemicals / Refinery
Pharmaceuticals/ Life Sciences/ Clinical Research	Pharmaceuticals/ Life Sciences/ Clinical Research
Power/ Energy	Power/ Energy,Engineering
Printing/ Paper/ Packaging	Printing/ Paper/ Packaging,Consumer Durables/ Semi Durables
Recruitment/ Staffing	Recruitment/ Staffing
Retail	Retail,Apparel/ Garments/ Textiles/ Fashion,Consumer Durables/ Semi Durables
Security/ Law Enforcement	Security/ Law Enforcement,Fire/ Security Equipment
Shipping/ Marine	Shipping/ Marine,Logistics/ Courier/ Cargo/Transportation
Telecom/ Mobile Operator/ ISP/ Telecom Vendor	Telecom/ Mobile Operator/ ISP/ Telecom Vendor,IT/ Technology - Telecom Software
Travel/ Tourism	Travel/ Tourism,Hotels/ Restaurants / Hospitality
Venture Capital/ Private Equity	Venture Capital/ Private Equity,Financial Services/ Capital Markets,Investment Banking,Banking - Corporate
Veterinary/ Animal Health Products	Veterinary/ Animal Health Products,Pharmaceuticals/ Life Sciences/ Clinical Research
Water treatment/ Waste Management	Water treatment/ Waste Management,Engineering,Infrastructure,Power/ Energy,Chemicals/ Fertilizer/ Pesticides,Oil/ Gas/ Petrochemicals / Refinery,Automobile/ Auto Components
Wholesale/ Distribution	Wholesale/ Distribution,Retail,Consumer Durables/ Semi Durables,
Capital Goods/Machinery	Capital Goods/Machinery,Engineering
