Senior Management-Marketing	Senior Management-Marketing,Corporate Communications,Creative,Market Research,PR/ Public Relations,Media Planning/ Buying,Editorial,Content development,Senior Management/ General Management,Project/ Program Management non IT,Merchandising,Circulation/ Distribution,Economist,Consulting,Strategic planning,Planning,Operations,Senior Management-Operation,Knowledge Management
Corporate Communications	Senior Management-Marketing,Corporate Communications,Creative,Market Research,PR/ Public Relations,Editorial,Content development,Senior Management/ General Management,Project/ Program Management non IT,Strategic planning,Planning,Knowledge Management
Creative	Senior Management-Marketing,Corporate Communications,Creative,Editorial,Content development,Knowledge Management,Market Research,Marketing,Senior Management/ General Management,Planning,Design,PR/ Public Relations,Economist
Market Research	Senior Management-Marketing,Corporate Communications,Creative,Market Research,PR/ Public Relations,Media Planning/ Buying,Editorial,Content development,Senior Management/ General Management,Project/ Program Management non IT,Merchandising,Circulation/ Distribution,Economist,Consulting,Strategic planning,Planning,Operations,Senior Management-Operation,Knowledge Management,Sales/ Business Development/ Account Management,Senior Management-Sales,Sales Support,After Sales Service - Product
PR/ Public Relations	Senior Management-Marketing,Corporate Communications,Market Research,PR/ Public Relations,Media Planning/ Buying,Editorial,Senior Management/ General Management,Project/ Program Management non IT,Merchandising,Economist,Consulting,Strategic planning,Planning,Operations,Senior Management-Operation,Knowledge Management,Sales/ Business Development/ Account Management,Senior Management-Sales,Sales Support,After Sales Service - Product
Media Planning/ Buying	Senior Management-Marketing,Corporate Communications,Creative,Market Research,PR/ Public Relations,Media Planning/ Buying,Editorial,Content development,Senior Management/ General Management,Project/ Program Management non IT,Merchandising,Circulation/ Distribution,Economist,Consulting,Strategic planning,Planning,Operations,Senior Management-Operation,Knowledge Management
Editorial	Senior Management-Marketing,Corporate Communications,Creative,Market Research,PR/ Public Relations,Media Planning/ Buying,Editorial,Content development,Senior Management/ General Management,Project/ Program Management non IT,Merchandising,Circulation/ Distribution,Economist,Consulting,Strategic planning,Planning,Operations,Senior Management-Operation,Knowledge Management,Design
Content development	Senior Management-Marketing,Corporate Communications,Creative,Editorial,Content development,Knowledge Management,Market Research,Marketing,Senior Management/ General Management,Planning,Design,Design,PR/ Public Relations,Economist
Circulation/ Distribution	Senior Management-Marketing,Corporate Communications,Creative,Market Research,PR/ Public Relations,Media Planning/ Buying,Editorial,Content development,Senior Management/ General Management,Project/ Program Management non IT,Merchandising,Circulation/ Distribution,Economist,Consulting,Strategic planning,Planning,Operations,Senior Management-Operation,Knowledge Management,Sales/ Business Development/ Account Management,Senior Management-Sales,Sales Support,After Sales Service - Product
Sales/ Business Development/ Account Management	Sales/ Business Development/ Account Management,Senior Management-Sales,Sales Support,PR/ Public Relations,Circulation/ Distribution,After Sales Service - Product,Strategic planning,Senior Management/ General Management,Project/ Program Management non IT,Market Research,Economist,Consulting,Planning,Operations,Senior Management-Operation,Knowledge Management
Senior Management-Sales	Sales/ Business Development/ Account Management,Senior Management-Sales,Sales Support,PR/ Public Relations,Circulation/ Distribution,After Sales Service - Product,Strategic planning,Senior Management/ General Management,Project/ Program Management non IT,Market Research,Economist,Consulting,Planning,Operations,Senior Management-Operation,Knowledge Management
Sales Support	Sales/ Business Development/ Account Management,Senior Management-Sales,Sales Support,PR/ Public Relations,Circulation/ Distribution,After Sales Service - Product,Strategic planning,Senior Management/ General Management,Project/ Program Management non IT,Market Research,Economist,Consulting,Planning,Operations,Senior Management-Operation,Knowledge Management
After Sales Service - Product	Sales/ Business Development/ Account Management,Senior Management-Sales,Sales Support,PR/ Public Relations,Circulation/ Distribution,After Sales Service - Product,Strategic planning,Senior Management/ General Management,Project/ Program Management non IT,Market Research,Economist,Consulting,Planning,Operations,Senior Management-Operation,Knowledge Management,Customer Service,Client Servicing,Maintenance
Merchandising	Senior Management-Marketing,Market Research,PR/ Public Relations,Media Planning/ Buying,Senior Management/ General Management,Project/ Program Management non IT,Merchandising,Circulation/ Distribution,Economist,Consulting,Strategic planning,Planning,Operations,Senior Management-Operation,Knowledge Management,Purchase,Logistics / Supply Chain Management,Senior Management-Logistics/Procurement/SCM
Logistics / Supply Chain Management	Logistics / Supply Chain Management,Purchase,Senior Management-Logistics/Procurement/SCM,Senior Management/ General Management,Project/ Program Management non IT,Production/ Manufacturing/ Engineering,Consulting,Strategic planning,Planning,Operations,Senior Management-Operation,Knowledge Management,Merchandising
Purchase	Senior Management/ General Management,Project/ Program Management non IT,Merchandising,Consulting,Strategic planning,Planning,Operations,Senior Management-Operation,Knowledge Management,Purchase,Logistics / Supply Chain Management,Senior Management-Logistics/Procurement/SCM,Production/ Manufacturing/ Engineering
Senior Management-Logistics/Procurement/SCM	Logistics / Supply Chain Management,Purchase,Senior Management-Logistics/Procurement/SCM,Senior Management/ General Management,Project/ Program Management non IT,Production/ Manufacturing/ Engineering,Consulting,Strategic planning,Planning,Operations,Senior Management-Operation,Knowledge Management,Merchandising
Finance/ Accounts	Finance/ Accounts,Finance & Admin,Audit and Assurance,Risk Management,Investments,Senior Management-Finance,Company Secretary/ Secretarial,Collections/ Recovery,Tax & Regulatory,Research(Equity/Industry),Treasury,Trading,Actuarial,Senior Management/ General Management,Project/ Program Management non IT,Economist,Compliance/ Regulatory,Consulting,Strategic planning,Planning,Operations,Senior Management-Operation,Knowledge Management
Finance & Admin	Finance & Admin,Audit and Assurance,Risk Management,Investments,Senior Management-Finance,Company Secretary/ Secretarial,Collections/ Recovery,Tax & Regulatory,Research(Equity/Industry),Treasury,Trading,Actuarial,Senior Management/ General Management,Project/ Program Management non IT,Economist,Compliance/ Regulatory,Consulting,Strategic planning,Planning,Operations,Senior Management-Operation,Knowledge Management
